X,Y,|u|,ux,uy,Status,elastic_strain_xx,elastic_strain_yy,elastic_strain_zz,elastic_strain_xy,plastic_strain_xx,plastic_strain_yy,plastic_strain_zz,plastic_strain_xy,Mises,Stress_xx,Stress_yy,Stress_zz,Stress_xy,strain_xx,strain_yy,strain_xy
0,0,0,9.82E-43,2.38E-42,0,2.93E-05,-0.00234654,0,2.94E-05,0,0,0,0,27.2478,-19.7144,-47.1283,-20.0528,0.169377,2.93E-05,-0.00234654,2.94E-05
0.04,0,0,-3.83E-37,-9.32E-37,0,2.93E-05,-0.0023465,0,5.87E-05,0,0,0,0,27.2538,-19.7139,-47.1274,-20.0524,0.338687,2.93E-05,-0.0023465,5.87E-05
0.08,0,0,-3.76E-37,-9.25E-37,0,2.94E-05,-0.00234638,0,0.000117449,0,0,0,0,27.2715,-19.7123,-47.1248,-20.0511,0.677592,2.94E-05,-0.00234638,1.17E-04
0.12,0,0,-3.70E-37,-9.19E-37,0,2.94E-05,-0.00234617,0,0.000176266,0,0,0,0,27.301,-19.7095,-47.1201,-20.0489,1.01692,2.94E-05,-0.00234617,1.76E-04
0.16,0,0,-3.63E-37,-9.11E-37,0,2.95E-05,-0.00234586,0,0.000235191,0,0,0,0,27.3421,-19.7056,-47.1133,-20.0457,1.35687,2.95E-05,-0.00234586,2.35E-04
0.2,0,0,-3.56E-37,-9.04E-37,0,2.96E-05,-0.00234543,0,0.000294253,0,0,0,0,27.3946,-19.7003,-47.104,-20.0413,1.69761,2.96E-05,-0.00234543,2.94E-04
0.24,0,0,-3.49E-37,-8.97E-37,0,2.96E-05,-0.00234486,0,0.000353479,0,0,0,0,27.4585,-19.6936,-47.0917,-20.0356,2.0393,2.96E-05,-0.00234486,3.53E-04
0.28,0,0,-3.42E-37,-8.90E-37,0,2.97E-05,-0.00234413,0,0.000412885,0,0,0,0,27.5333,-19.6852,-47.0759,-20.0283,2.38203,2.97E-05,-0.00234413,4.13E-04
0.32,0,0,-3.35E-37,-8.83E-37,0,2.98E-05,-0.00234319,0,0.000472489,0,0,0,0,27.6188,-19.675,-47.0561,-20.0193,2.7259,2.98E-05,-0.00234319,4.72E-04
0.36,0,0,-3.27E-37,-8.75E-37,0,2.99E-05,-0.00234202,0,0.00053229,0,0,0,0,27.7145,-19.6627,-47.0316,-20.0083,3.07091,2.99E-05,-0.00234202,5.32E-04
0.4,0,0,-3.20E-37,-8.68E-37,0,3.01E-05,-0.00234058,0,0.000592292,0,0,0,0,27.8202,-19.6482,-47.0017,-19.995,3.41707,3.01E-05,-0.00234058,5.92E-04
0.44,0,0,-3.13E-37,-8.60E-37,0,3.01E-05,-0.00233884,0,0.000652477,0,0,0,0,27.9354,-19.6312,-46.9657,-19.9791,3.76429,3.01E-05,-0.00233884,6.52E-04
0.48,0,0,-3.05E-37,-8.52E-37,0,3.02E-05,-0.00233675,0,0.000712831,0,0,0,0,28.0594,-19.6114,-46.9228,-19.9602,4.11249,3.02E-05,-0.00233675,7.13E-04
0.52,0,0,-2.98E-37,-8.44E-37,0,3.03E-05,-0.00233428,0,0.000773319,0,0,0,0,28.1918,-19.5885,-46.8722,-19.9382,4.46146,3.03E-05,-0.00233428,7.73E-04
0.56,0,0,-2.90E-37,-8.35E-37,0,3.04E-05,-0.00233137,0,0.000833908,0,0,0,0,28.332,-19.5623,-46.8131,-19.9126,4.81101,3.04E-05,-0.00233137,8.34E-04
0.6,0,0,-2.83E-37,-8.27E-37,0,3.04E-05,-0.002328,0,0.000894547,0,0,0,0,28.4793,-19.5326,-46.7447,-19.8832,5.16085,3.04E-05,-0.002328,8.95E-04
0.64,0,0,-2.75E-37,-8.18E-37,0,3.04E-05,-0.00232411,0,0.000955182,0,0,0,0,28.6329,-19.4989,-46.6662,-19.8495,5.51067,3.04E-05,-0.00232411,9.55E-04
0.68,0,0,-2.67E-37,-8.09E-37,0,0.000030351,-0.00231967,0,0.00101575,0,0,0,0,28.7922,-19.4612,-46.5768,-19.8114,5.86009,3.04E-05,-0.00231967,1.02E-03
0.72,0,0,-2.60E-37,-8.00E-37,0,3.03E-05,-0.00231464,0,0.00107618,0,0,0,0,28.9563,-19.419,-46.4759,-19.7685,6.20872,3.03E-05,-0.00231464,1.08E-03
0.76,0,0,-2.52E-37,-7.91E-37,0,3.02E-05,-0.00230899,0,0.00113639,0,0,0,0,29.1245,-19.3723,-46.3627,-19.7205,6.5561,3.02E-05,-0.00230899,1.14E-03
0.8,0,0,-2.44E-37,-7.81E-37,0,3.00E-05,-0.00230268,0,0.0011963,0,0,0,0,29.2958,-19.3206,-46.2365,-19.6671,6.90174,3.00E-05,-0.00230268,1.20E-03
0.84,0,0,-2.36E-37,-7.71E-37,0,2.98E-05,-0.00229568,0,0.00125582,0,0,0,0,29.4694,-19.2639,-46.0969,-19.6082,7.24512,2.98E-05,-0.00229568,1.26E-03
0.88,0,0,-2.28E-37,-7.61E-37,0,2.96E-05,-0.00228797,0,0.00131486,0,0,0,0,29.6443,-19.2019,-45.9432,-19.5435,7.58571,2.96E-05,-0.00228797,1.31E-03
0.92,0,0,-2.20E-37,-7.51E-37,0,2.93E-05,-0.00227952,0,0.00137331,0,0,0,0,29.8197,-19.1346,-45.775,-19.4729,7.92296,2.93E-05,-0.00227952,1.37E-03
0.96,0,0,-2.11E-37,-7.41E-37,0,2.90E-05,-0.00227031,0,0.00143109,0,0,0,0,29.9945,-19.0615,-45.5919,-19.396,8.25626,2.90E-05,-0.00227031,1.43E-03
1,0,0,-2.03E-37,-7.30E-37,0,2.86E-05,-0.00226032,0,0.00148808,0,0,0,0,30.1679,-18.9829,-45.3936,-19.3129,8.58506,2.86E-05,-0.00226032,1.49E-03
